GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MementoX,net.mooctest,Note,0,66,0,8,0,17,0,12,0,8
MementoX,net.mooctest,PermissionManager,0,62,0,12,0,12,0,13,0,7
MementoX,net.mooctest,LabelManager,0,65,0,4,0,14,0,8,0,6
MementoX,net.mooctest,NoteDiffUtil,4,84,1,11,1,14,2,6,1,1
MementoX,net.mooctest,NoteEncryptor,3,31,0,4,1,6,1,4,1,2
MementoX,net.mooctest,UserManager,0,47,0,2,0,11,0,6,0,5
MementoX,net.mooctest,HistoryManager,97,120,9,3,13,24,10,6,4,6
MementoX,net.mooctest,SearchService,2,144,1,25,0,30,1,18,0,6
MementoX,net.mooctest,NoteStatus,0,44,0,0,0,2,0,1,0,1
MementoX,net.mooctest,LabelSuggestionService,0,34,0,4,0,8,0,4,0,2
MementoX,net.mooctest,Permission,0,34,0,0,0,2,0,1,0,1
MementoX,net.mooctest,CalendarManager,0,83,1,3,0,16,1,7,0,6
MementoX,net.mooctest,PluginManager,0,36,0,4,0,9,0,6,0,4
MementoX,net.mooctest,Label,15,120,7,15,1,24,7,13,0,9
MementoX,net.mooctest,RuleEngine,0,37,0,4,0,9,0,6,0,4
MementoX,net.mooctest,User,0,76,0,8,0,16,0,10,0,6
MementoX,net.mooctest,NoteMemento,0,9,0,0,0,4,0,2,0,2
MementoX,net.mooctest,StatisticsService,0,79,0,8,0,15,0,7,0,3
MementoX,net.mooctest,MementoException,0,9,0,0,0,4,0,2,0,2
MementoX,net.mooctest,CalendarManager.Reminder,0,38,0,4,0,10,0,7,0,5
MementoX,net.mooctest,Caretaker,48,75,5,5,7,13,6,6,2,5
MementoX,net.mooctest,Memento,0,22,0,0,0,6,0,3,0,3
MementoX,net.mooctest,RecycleBin,0,36,0,2,0,9,0,7,0,6
